algo,env_id,architecture_signature,updates_per_env_step,segment,n_seeds,mean_energy_kwh,mean_energy_joules,total_flops,mean_energy_per_flop_j_per_flop
mbpo,HalfCheetah-v5,bs256_h1024x1024_ens7_mh200x200x200x200_mb256,1,target_update,5,0.0007083606140198963,2550.0982104716268,430080400000.0,5.92935230359632e-09
mbpo,HalfCheetah-v5,bs256_h256x256_ens7_mh200x200x200x200_mb256,1,TOTAL_MEASURED_TRAINING,5,0.051844617679656854,186640.62364676467,288257861411200.0,6.474780001941447e-10
mbpo,HalfCheetah-v5,bs256_h256x256_ens7_mh200x200x200x200_mb256,1,actor_update,5,0.006289485656327301,22642.148362778284,25663897600000.0,8.822568074296822e-10
mbpo,HalfCheetah-v5,bs256_h256x256_ens7_mh200x200x200x200_mb256,1,buffer_sample,5,0.00035352394706984015,1272.6862094514245,0,
mbpo,HalfCheetah-v5,bs256_h256x256_ens7_mh200x200x200x200_mb256,1,critic_update,5,0.005187963105944484,18676.667181400142,32492748800000.0,5.747949272115796e-10
mbpo,HalfCheetah-v5,bs256_h256x256_ens7_mh200x200x200x200_mb256,1,dynamics_model_update,5,0.03916594197604386,140997.39111375788,228086537011200.0,6.181749828874569e-10
mbpo,HalfCheetah-v5,bs256_h256x256_ens7_mh200x200x200x200_mb256,1,rollout,5,0.0006423980335263074,2312.6329206947066,14592000000.0,1.5848635695550346e-07
mbpo,HalfCheetah-v5,bs256_h256x256_ens7_mh200x200x200x200_mb256,1,synthetic_rollout_generation,5,1.4783151030356607e-05,53.219343709283784,1971208800000.0,2.6998328999588367e-11
mbpo,HalfCheetah-v5,bs256_h256x256_ens7_mh200x200x200x200_mb256,1,target_update,5,0.0005440457567845458,1958.5647244243648,28877200000.0,6.782391382905424e-08
mbpo,HalfCheetah-v5,bs256_h512x512_ens7_mh200x200x200x200_mb256,1,TOTAL_MEASURED_TRAINING,5,0.05317644541979279,191435.20351125402,458492296257920.0,4.175319957907519e-10
mbpo,HalfCheetah-v5,bs256_h512x512_ens7_mh200x200x200x200_mb256,1,actor_update,5,0.006623223024439554,23843.602887982393,98304000000000.0,2.425496713051594e-10
mbpo,HalfCheetah-v5,bs256_h512x512_ens7_mh200x200x200x200_mb256,1,buffer_sample,5,0.00037057826635427304,1334.081758875383,0,
mbpo,HalfCheetah-v5,bs256_h512x512_ens7_mh200x200x200x200_mb256,1,critic_update,5,0.005429014756692182,19544.453124091855,125383475200000.0,1.5587742398203885e-10
mbpo,HalfCheetah-v5,bs256_h512x512_ens7_mh200x200x200x200_mb256,1,dynamics_model_update,5,0.03988307368553277,143579.06526791796,232264047697920.0,6.181717174526093e-10
mbpo,HalfCheetah-v5,bs256_h512x512_ens7_mh200x200x200x200_mb256,1,rollout,5,0.0006488280634969483,2335.781028589014,55398400000.0,4.2163330142910516e-08
